production_type,name,installed_capacity,unit_type
HYDRO_RUN-OF-RIVER_AND_POUNDAGE,CHASTANG 1,98,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,CHASTANG 2,105,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,CHASTANG 3,106,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,COUESQUE,119,PRODUCTION_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,FR_MAREGES,146,PRODUCTION_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,FR_SAINT-PIERRE,122,PRODUCTION_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 01 DE LA CENTRALE DE SAUVETERRE,33,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE AVIGNON,30,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE BEAUCAIRE,35,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE BEAUCHASTEL,32,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE BOLLENE,58,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE BOURG-LES-VALENCE,30,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE BREGNIER-CORDON,35,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE BRENS,45,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE CADEROUSSE,31,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE CHATEAUNEUF-DU-RHONE,46,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE CHAUTAGNE,45,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE GENISSIAT,65,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE GERVANS,30,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE LOGIS-NEUF,32,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE PIERRE-BENITE,20,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE SABLONS,40,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE SAULT-BRENAZ,22,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE SEYSSEL,14,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE VAUGRIS,18,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 02 DE LA CENTRALE DE SAUVETERRE,33,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE AVIGNON,30,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE BEAUCAIRE,35,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE BEAUCHASTEL,32,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE BOLLENE,58,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE BOURG-LES-VALENCE,30,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE BRENS,45,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE CADEROUSSE,31,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE CHATEAUNEUF-DU-RHONE,46,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE CHAUTAGNE,45,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE GENISSIAT,65,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE GERVANS,30,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE LOGIS-NEUF,32,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE PIERRE-BENITE,20,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE SABLONS,40,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE SAULT-BRENAZ,22,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE SEYSSEL,14,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 02 DE LA CENTRALE HYDRAULIQUE DE VAUGRIS,18,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE AVIGNON,30,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE BEAUCAIRE,35,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE BEAUCHASTEL,32,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE BOLLENE,58,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE BOURG-LES-VALENCE,30,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE CADEROUSSE,31,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE CHATEAUNEUF-DU-RHONE,46,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE GENISSIAT,66,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE GERVANS,30,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE LOGIS-NEUF,32,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE PIERRE-BENITE,20,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE SABLONS,40,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE SEYSSEL,14,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 03 DE LA CENTRALE HYDRAULIQUE DE VAUGRIS,18,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE AVIGNON,30,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE BEAUCAIRE,35,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE BEAUCHASTEL,32,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE BOLLENE,58,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE BOURG-LES-VALENCE,30,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE CADEROUSSE,32,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE CHATEAUNEUF-DU-RHONE,46,GENERATING_UNIT

